conceptType,conceptUri,code,preferredLabel,greenShare
Occupation,http://data.europa.eu/esco/occupation/5d601b40-7e0e-404e-bbff-bb98e147437c,2422.12.11,Especialista em assuntos jurídicos,0.0
Occupation,http://data.europa.eu/esco/occupation/d4d6842b-27f0-4222-85db-c542acf6d434,2422.12.12,Especialista em política de saúde pública,0.0
Occupation,http://data.europa.eu/esco/occupation/fdf7b000-d923-4086-9660-eb8ee5e77ef0,2422.12.13,Especialista em política desportiva,0.0
Occupation,http://data.europa.eu/esco/occupation/2808c7ec-cdb1-4b48-8429-e160a418ed0c,2422.12.14,Especialista em política de desenvolvimento regional,0.0
Occupation,http://data.europa.eu/esco/occupation/d6ef013f-57e9-4100-bbe5-3e4930664dee,2422.12.15,Especialista em política de assistência social,0.0
Occupation,http://data.europa.eu/esco/occupation/caf7b8fb-b2d6-46b7-bffa-bea7f8e4aed8,2422.12,Analista de políticas,0.112068965517241
Occupation,http://data.europa.eu/esco/occupation/8bf76ba6-e661-4574-9887-4f2cb943835a,2422.13,Conselheiro político/Conselheira política,0.0
Occupation,http://data.europa.eu/esco/occupation/0561328b-875b-4ae2-9ba1-9af9049aef01,2422.14,especialista em contratos públicos em categorias específicas,0.0294117647058823
Occupation,http://data.europa.eu/esco/occupation/cb4f98c8-6b8d-41d8-87eb-a2a2033a3a25,2422.15,especialista em contratação pública,0.0212765957446808
Occupation,http://data.europa.eu/esco/occupation/1a46d0f0-93d7-44d1-bff9-58e3f21bd4c4,2422.16,Consultor de Serviços Sociais/Consultora de Serviços Sociais,0.0
Occupation,http://data.europa.eu/esco/occupation/7b629a14-09d0-417e-8181-7683923b4e5e,2422.17,Coordenador de programas de desporto/Coordenadora de programas de desporto,0.0
Occupation,http://data.europa.eu/esco/occupation/c418ed9a-132f-48cd-ae5c-dd375070ee0e,2422.18,Responsável pelo desenvolvimento de relações comerciais,0.0
ISCO level 4,http://data.europa.eu/esco/isco/C2422,2422,Especialistas em políticas da administração,0.04424957664027675
